words,count
standardize,0.7730427881381363
san,0.7779758290284461
overwhelm,0.7856558329341181
interrupt,0.7879972404837231
sparse,0.799796815073877
vigorous,0.8007843859278239
interactive,0.8407702821466382
conditional,0.8430437543504009
raw,0.8626747499935405
relief,0.8633221001572348
suspension,0.87496659879502
away,0.9194961060685625
pronounce,0.9367428029537703
services,0.9397229535521868
london,0.9401372892265507
da,0.9437805404041597
devise,0.9529786758997175
compose,0.959454589956553
hoc,0.9622659698913026
egypt,0.9790077811916744
denmark,0.9824791082026828
anova,1.007854600818154
ireland,1.009598993932342
preserve,1.0152142790446002
pragmatic,1.0261455724090809
sweden,1.0372875935925259
differently,1.0501447438204659
instrumental,1.0521200044088903
automatically,1.0567989574447947
gauge,1.0611917878623522
third,1.0615920986685177
deserve,1.0632530621088474
switzerland,1.066543343072438
biomedical,1.0770814870643988
migration,1.0803155249355505
uae,1.087741853810273
binomial,1.1007927099018444
tau,1.1014960970412686
acceptable,1.1079103741276266
aggregate,1.1099095562201917
heavily,1.119917699443342
military,1.1223545672169433
prioritise,1.1229074089816218
window,1.126921194389182
california,1.1287994972720077
saharan,1.1328613040269162
conflict,1.1361207383016731
supervised,1.1376187041312522
slight,1.1451995005931954
explanatory,1.1504551358553856
infer,1.1529220610707782
breast,1.1559101249051131
query,1.1602248439721268
synthetic,1.1631609250855204
recognise,1.1669763547487042
eg,1.1721784147116054
modifiable,1.1755048100345427
mouth,1.176327408467816
run,1.1767183646421164
inability,1.176863828288727
veterans,1.1807911399502757
presume,1.1835823790195885
ache,1.1894632285491016
crude,1.200178368289656
cohen,1.2089621095002339
preparation,1.2102825471733683
portion,1.2189986554645487
gradient,1.231101309731168
modern,1.239485535094255
equivalent,1.2462250085486462
appropriately,1.2481333185620966
eastern,1.2523072684735348
minimum,1.254047797985572
outperform,1.2582594821696633
night,1.2620055884848989
conservative,1.2640870071648618
multilevel,1.2796426833071406
kind,1.2803586581347817
quantity,1.2803839591909698
standardised,1.2939241511931434
manual,1.2975099091922355
ses,1.3007152984708008
carefully,1.3026574615548647
disposition,1.302898052136002
interference,1.3033519860037341
intensify,1.3052409032129106
innovative,1.3063705614136882
parkinson,1.3138841137659472
mind,1.316795541077213
indonesia,1.3221241391167524
ea,1.3263631100124997
layer,1.3296558530383267
representation,1.3312587724376348
apnea,1.3334384215870394
speak,1.3418186100327156
instead,1.3454266584868348
enormous,1.3493677134498843
native,1.3538309431299942
neglect,1.3565654592191225
escalate,1.36255144553818
immediately,1.3628430137601462
broadly,1.3672415795429158
powerful,1.3744269556427688
med,1.3861574746452867
localization,1.386201992363969
collaboration,1.3879827928598358
promotion,1.388693046154587
tremendous,1.3913027553730364
launch,1.392953699491759
architecture,1.3965239265361162
consume,1.4005059217862028
regularly,1.4010091222562204
assumption,1.4091176805191796
acquisition,1.4106842417725796
advise,1.4110900740873822
bangladesh,1.4137044707327409
inhabitant,1.4151931229910313
round,1.4162849945565843
unfortunately,1.4186217724649162
idea,1.4192312034473997
color,1.419834991807127
reasonable,1.4268986334712122
precede,1.434566541156137
mediation,1.4347275232306334
universal,1.4353969920139487
reinforce,1.4358323146129404
tendency,1.4361858230177673
temporary,1.4370775348552423
advice,1.4416943855893167
credible,1.4438374516920411
emphasise,1.443969716702806
flight,1.4474105482098474
move,1.4514630503839074
recall,1.4659971380930394
argentina,1.469298737980696
higher,1.471184706438571
declaration,1.4716414234993218
cigarette,1.4736615214583062
translate,1.4749270929749745
bayesian,1.4778498059007177
experienced,1.4821167058244957
scheme,1.4880800353199053
taiwan,1.4894723382118862
specialty,1.4914304690630553
cite,1.4922649139752484
dermatological,1.4977447477184693
adequately,1.5003449813396155
southern,1.5013925241906314
sgtf,1.5077638150101869
suggestion,1.508719344343633
disproportionate,1.5135967394336909
conference,1.51405546785419
surround,1.5210226245005467
concerned,1.5217745091505366
precision,1.5240441267832616
cognition,1.5333767317754696
struggle,1.543512381848348
cancel,1.55272570535326
constraint,1.5529550579910458
unexpected,1.553330479171804
proxy,1.5616340743069408
big,1.5694147340349531
establishment,1.5747406995629765
analytic,1.5796883806009843
latent,1.5809331365105526
sf,1.5827383890073061
breathing,1.5916973617866155
territory,1.593439309365463
feedback,1.5956898626663942
exploratory,1.606618111175092
correction,1.6078552329855642
xgboost,1.6089193180160817
russia,1.6109440282036063
unhealthy,1.614320893829627
teacher,1.6153263005405676
interruption,1.6268097080808668
parental,1.6323576998568372
belgium,1.6324767247549137
zip,1.636833361478189
israel,1.6413924936045712
forward,1.6548637596349363
nicotine,1.657449809604466
atopic,1.658306068481079
constant,1.6585597183352698
childhood,1.6597916907280594
alarming,1.6732572478652692
reside,1.6735486561477875
hear,1.67687055147068
australian,1.6774428045647005
exception,1.6793236138219663
toxic,1.6869634173533092
imperative,1.6924256398544115
mandate,1.6926152073503131
underscore,1.695680794187895
hierarchical,1.7013758132221315
proceed,1.7041842303929662
danger,1.7056621618520849
consistency,1.7061534280977753
polish,1.7080934127971201
today,1.709617982151161
meaningful,1.711369743631385
workflow,1.711578975357581
sas,1.7145693587224782
path,1.7202260320654168
observed,1.723627224967145
amid,1.7264317171042844
metal,1.7284105031454877
vision,1.7284942650026505
exponential,1.7291075391045052
border,1.7346508131057001
arrival,1.7352865892423528
fire,1.7447805866055794
antidepressant,1.7448651977475604
trainee,1.7513269467948984
ease,1.753944123550147
collaborative,1.7615576417792536
joint,1.7760902987343061
organisation,1.7817585944570962
geriatric,1.7860387050941922
endorse,1.786256088556215
near,1.799215364068961
partner,1.8051708826457888
hard,1.8069900195546147
necessitate,1.8085365708665913
objectives,1.8105072010168404
facial,1.8109646173023413
corresponding,1.8115195393006276
output,1.8149991659951064
request,1.8212934636257665
multidimensional,1.8331763250222346
pronounced,1.8347943027418376
drinking,1.8373078271909353
extended,1.8417497576970698
portugal,1.8513816828738865
imply,1.8514061054199131
initiative,1.8577286315232115
specialist,1.8593137016219898
hearing,1.8607502576470227
dedicated,1.8633089826676967
pcs,1.864830842503935
diffusion,1.8670631307756305
bear,1.8845928261315654
choose,1.889202690968675
cri,1.8924178532792912
german,1.8929685510552088
intent,1.8962356440163899
metropolitan,1.8985270798284601
vector,1.8989026888528642
vas,1.9011570294816824
strengthen,1.9016390445143438
discomfort,1.9029479200954516
building,1.903707447802904
mainland,1.9090303226461611
principal,1.9101638593688746
appraisal,1.910825609914251
art,1.912210044833275
evolutionary,1.9144391037918767
residence,1.920131405814154
ie,1.921557525693025
malaysia,1.921841052392092
preventative,1.9366753499271157
scope,1.9367829692525587
clustering,1.9398640379754755
modelling,1.9421211312666984
migrant,1.9457607941509365
span,1.9473571197469515
word,1.9510667859425166
bdi,1.9596522770232463
winter,1.9743564174140662
summer,1.9748804116224847
precaution,1.978045530562467
tailor,1.979787227872846
inadequate,1.9843765042966073
thought,1.985387304569899
sem,1.9967388239710762
nyc,1.9969511563037157
moderately,2.0012789960582245
unchanged,2.001585238350726
centers,2.0024665128046486
fill,2.0032157018535632
dependence,2.003615137740008
resurgence,2.006779285023467
look,2.0072145724701587
historical,2.0112130875742893
part,2.01138670645358
efficiency,2.0117939933985136
originate,2.013155286654031
statement,2.0180905754328453
formulate,2.02015719101329
dramatic,2.0326993829032736
poisson,2.041061380046779
comment,2.0415188950737773
extreme,2.0438104043903667
administrative,2.047414121784412
optimization,2.051940770242676
annual,2.052787311361533
sensor,2.054300413713654
hold,2.054886141171557
vehicle,2.060110050081011
aware,2.066242796454851
dentist,2.067090464739632
draw,2.0696958378547174
wait,2.0702674195016466
resume,2.075859593717199
working,2.079088577244405
capability,2.079634415539528
collective,2.0804054012955926
equity,2.0821616496915047
respective,2.0833948315878437
forest,2.083398950990467
pss,2.0835307053005168
prepandemic,2.0850079563175212
nh,2.0891425826809646
misinformation,2.0906307869098253
circumstance,2.0914304811900433
lag,2.0930750610185846
consult,2.1048880403188597
carer,2.107893939277706
assume,2.1142079988955986
choice,2.1158975978041776
pasc,2.1164250848959556
tackle,2.1188171529065993
acuity,2.1273444098328476
decide,2.1344346262027543
er,2.1344811706263465
psqi,2.136235898750447
go,2.1390613103961944
having,2.140833354260406
huge,2.142100503744417
victim,2.150921958686803
inter,2.15114574861848
census,2.1582796342280317
locate,2.1697089113617425
neuropsychiatric,2.177859616365235
disproportionately,2.1781604300498794
sufficient,2.182640761848356
foreign,2.1847191949700706
rtc,2.190852059172274
netherlands,2.19325656445406
movement,2.1969036381197333
americans,2.2014683184442783
automatic,2.2077196693820644
addiction,2.213092407677841
hit,2.213953890240801
direction,2.2203117746561127
varied,2.2254448759778658
complexity,2.2432640930253567
injure,2.245420072892815
schedule,2.247118065771698
leverage,2.247594538075987
fitness,2.2499990124440084
hae,2.2538125525621675
restrictive,2.253832709205068
lethality,2.2544297711528603
residential,2.2545421064709243
prioritization,2.2590877496062016
brief,2.2641637751629373
responder,2.272346160741993
unemployment,2.2740851940159845
weak,2.279403782327142
nepal,2.2808418297892374
true,2.2808944906633246
adhere,2.2825284284590603
zealand,2.290403981193802
manner,2.2963466621794577
quarter,2.2967118821483568
argue,2.2972112691964717
monthly,2.297664239168117
keep,2.3061413231733576
stringent,2.311882501622998
feasible,2.3131829049837536
mode,2.3182590170494697
nhs,2.32800621641046
security,2.3280996170194364
interpret,2.329686697760715
overcome,2.3324312767685758
cnn,2.344517415527615
operative,2.3464937370747867
water,2.358373650040156
smoke,2.3681131651879146
stakeholder,2.369936276729261
scarcity,2.3778949533920475
asia,2.381692769035595
spanish,2.3873529607081947
illustrate,2.387391520605632
outdoor,2.389197336055774
programme,2.390877380693075
road,2.3922671070826094
transmit,2.40616923607504
reliability,2.40986868764562
participation,2.412215252588169
acs,2.4128120030842255
binary,2.416589720942597
intend,2.4336124564810664
neighborhood,2.4368444507427016
singapore,2.440900672691177
instrument,2.449735608312008
feeling,2.4520559645803326
canada,2.454307414514496
somatization,2.460065856316367
theoretical,2.463204731811088
tree,2.464473329951155
shelter,2.4685702409160695
room,2.475869333606871
poverty,2.4761844494555785
forecast,2.476733791724096
easy,2.4770428627824748
sexual,2.4801610458914998
asd,2.487876100422926
save,2.4886935466967284
employment,2.4906204680833612
schizophrenia,2.4934457831769223
capita,2.4937161180311738
rest,2.495894008527335
sudden,2.496852266189522
domestic,2.498223809536777
eeg,2.500593358450458
cas,2.506162498356402
iran,2.510927342176808
sport,2.511867967151986
send,2.5184276868949187
mobile,2.524046981054994
minor,2.534251495801888
simulate,2.536582423648633
sick,2.545551150095558
assistance,2.5458555310588364
theme,2.5525888666356185
fracture,2.5551394492831796
ministry,2.555892610233783
gather,2.55929276576982
herd,2.560144860264638
structured,2.5685874291137947
spring,2.572294792337451
australia,2.5753210979415515
attributable,2.5765402066872523
opioid,2.578185502413884
aerosol,2.5792594927833825
frame,2.580782019339437
formula,2.580957234971871
federal,2.5826517346908653
ncd,2.584968324815714
fm,2.5855482725933214
lesson,2.5958408604207204
acceptability,2.5971364076696366
