,processed_text
0,consequence sars cov- infection include short term long term mild severe clinical symptom cardiovascular system include endothelial cell vascular smooth muscle cell cardiac myocyte important target sars cov- february finding large cohort individual diagnose covid- set control cohort evaluate risk -month cardiovascular disease burden individual covid- increase risk heart failure increase risk myocardial infarction increase risk ischemic stroke compare control result independent gender race age cardiovascular risk factor include diabetes obesity hypertension hyperlipidemia chronic kidney disease  april world health organization report  million people  million people uk  million people worldwide infect sars cov- editorial aim present currently know cardiovascular outcome year follow sars cov- infection highlight primary care physician mindful covid- infection status patient evaluate cardiovascular health
1,background aim severe acute respiratory syndrome coronavirus  sars cov)i highly contagious virus infect  million individual december severity coronavirus disease  covid- depend complex interplay viral factor host inflammatory response trigger cascadeeventually lead multiorgan failure contradictory evidence angiotensin convert enzyme acei angiotensin receptor blocker arb affect mortality patient severe covid- theoretically interaction bradykinin pathway aim explore association acei arb use mortality severe sars cov infection severe acute respiratory yndrome coronavirus sars cov highly contagious virus infect  million individual december severity covid- depend complex interplay viral factor host inflammatory response trigger cascadeeventually lead multiorgan failure contradictory evidence angiotensin convert enzyme acei angiotensin receptor blocker arb affect mortality patient severe covid- theoretically interaction bradykinin pathway aim explore association acei arb use mortality severe sars cov infection materials methodology multicenter retrospective observational study enrol  covid- patient admit hospital southern california usa march  august primary outcome association pre hospital use acei arb hospital mortality covid- patient relevant deidentifie patient datum extract sql program electronic medical record bivariate analysis relationship acei arb use different study variable chi t test finally backward selection cox multivariate regression analysis mortality dependent variable result  patient study hypertension present .% congestive heart failure .% acei arb .% .% patient respectively .% patient medication adjust confound variable multivariate analysis use acei hr ci arb hr ci independently associate increase mortality conclusion result consistent clinical guideline position statement international society hypertension indication stop use acei arb covid- patient
2,introduction inherent difference health disparity rural urban population warrant study focus characteristic outcome covid- patient rural setting aim study describe element patient infect sars cov hospitalize single center rural pennsylvania method patient sars cov infection hospitalize march december  study datum obtain electronic health record generate report retrospectively analyze patient classify group accord severity distribution variable study group certain variable run logistic regression analysis study odd death requirement mechanical ventilation mv result  hospitalize patient infect sars cov age  year increase severity clinical status hospital mortality gender affect odd death need mv hypertension common comorbidity diabetes mellitus chronic obstructive pulmonary disease copd increase risk death term laboratory parameter datum suggest maximum ldh marginally increase risk death maximum wbc marginally increase risk need mv death conclusion basic analysis characteristic sars cov positive patient admit rural hospital identify certain risk factor associate severe disease increase hospital mortality find largely similar current literature study urban population bolster reproducibility generalizability exist knowledge information lay foundation future study investigate role factor morbidity mortality associate covid- depth
3,objective study aim investigate association covid- disease severity numerous patient characteristic develop convenient severity prediction scale use self assessment home preliminary screening community healthcare setting setting participant datum patient infect covid- january  february  extract municipal notifiable disease report system wuhan china primary secondary outcome measures categorize covid- disease severity base chinese diagnosis treatment protocol covid- nonsevere group asymptomatic mild ordinary disease versus severe group severe critical illness result scale item age gender illness duration dyspnea shortness breath clinical evidence altered breathing hypertension pulmonary disease diabetes cardio cerebrovascular disease number comorbiditie neutrophil percentage lymphocyte percentage identify show good predictive ability area curve exclude community healthcare laboratory parameter remain model final self assessment scale show similar area curve (= conclusion covid- severity self assessment scale patient community predict risk develop severe illness need medical assistance tool practical use preliminary screening community healthcare setting study construct covid- severity self assessment scale patient community predict risk develop severe illness need medical assistance
4,background role angiotensin convert enzyme inhibitor acei angiotensin ii receptor blocker arb pandemic context coronavirus disease  covid- continue debate patient hypertension diabetes mellitus chronic renal failure cerebro cardiovascular disease chronic obstructive pulmonary disease copd use acei arb risk severe covid- datum available association acei arb use covid- severity population method study observational study patient positive severe acute respiratory syndrome coronavirus  test inpatient treatment healthcare facility registry information coviregi jp primary outcome hospital death ventilator support extracorporeal membrane oxygenation support intensive care unit admission  patient  patient preexisting hypertension diabetes mellitus chronic renal failure cerebro cardiovascular disease copd enrol result factor associate increase risk primary outcome age male sex copd severe renal impairment diabetes mellitus correlation observe acei arb cerebro cardiovascular disease hypertension associated factor male patient age renal impairment hypertension diabete female patient factor associate increased risk age acei arb renal impairment diabetes hypertension associate low risk primary outcome conclusion independent factor primary outcome age male sex copd severe renal impairment diabetes acei arb base registry datum analysis detailed datum collection analysis need cooperation multiple healthcare facility
5,introduction globally ravage effect coronavirus disease- covid- pandemic evident public health global economy aim describe clinical characteristic management outcome covid- patient abuja nigeria method conduct retrospective study review hospital chart  covid- patient admit isolation center university abuja teaching hospital uath gwagwalada extract datum include demographic datum clinical symptom underlie comorbiditie clinical outcome outcome interest discharge die datum analyze statistical package social sciences spss version result median age  year range year majority patient male affected age group year child adolescent affect  year constitute year constitute common symptom presentation fever cough ninety patient underlying comorbiditie common hypertension base disease severity  mild disease  moderate disease  severe disease common complication acute respiratory distress syndrome ards see  patient  case manage  .% discharge stable condition  .% die patient lie comorbiditie .% death rate comorbiditie .% death rate conclusion nigerian patient covid- affect male female child adolescent affect study highlight clinical feature covid- patient overall mortality rate low nigerian patient compare patient usa europe study show advanced age presence underlie comorbiditie disease severity associate risk die covid-
6,background severe acute respiratory syndrome coronavirus  sars cov- etiological agent coronavirus disease  covid- pandemic risk factor associate severity disease presence metabolic disorder reason aim research identify comorbiditie laboratory parameter covid- patient admit intensive care unit icu compare patient require invasive mechanical ventilation imv require imv order determine clinical characteristic associate covid- severity method carry cross sectional study  patient admit icu april  st july  st comorbiditie laboratory parameter associate sars cov- infection severity identify datum patient group main group patient require imv patient require imv nonparametric mann whitney u test continuous datum chi  test categorical datum compare variable group result  covid- patient admit icu  require imv  require imv comorbiditie find patient high prevalence type  diabetes mellitus tdm hypertension obesity observe patient require imv vs. require imv p concern laboratory parameter glucose interleukin  il- lactate dehydrogenase ldh c reactive protein crp significantly high patient require imv require imv p conclusion study perform mexican population indicate comorbiditie tdm hypertension obesity elevated level glucose il- ldh crp associate covid- severity
7,aim study aim review indicate discuss impact cardiovascular risk factor obesity diabetes lipid profile hypertension smoking course mortality covid- infection background coronavirus disease  covid- pandemic spread world major public health crisis coronaviruse know affect cardiovascular system strong correlation cardiovascular risk factor severe clinical complication include death covid- patient mention risk factor widespread constitute significant worldwide health problem modifiable awareness connection covid- progress crucial impact current possible upcoming infection data collection search research paper describe impact select cardiovascular risk factor course severity complication mortality covid- infection form pubmed google scholar database term example covid- cardiovascular disease mortality covid- hypertension diabetes mellitus obesity dyslipidemia cardiovascular risk factor covid- mortality related term list subtitle publication select accord time publication january  december pubmed database obtain  result study seek manually search reference list relevant article relevant article select base title abstract text article exclude clearly relate subject matter publish english type article mainly randomized control trial systematic review additional criterion researcher co morbidity age patient study group review publication  select work subheading include finding result intention review summarize current knowledge comorbiditie development covid- infection try focus course mortality abovementioned virus disease patient concomitant cv risk factor unfortunately unable assess quality datum screen paper study choose heterogenicity group conduct study different endpoint include different group patient term nationality age race clinical status decide divide main subject research separately describe subtitle obesity lipid profile hypertension diabetes smoking believe study include gather interesting modern present day clinical datum approach covid- infection specific division patient
8,background hypertension heart failure know risk factor coronavirus disease  covid- severity mortality outcome beta blocker drug choice treat condition purpose study explore relationship pre admission beta blocker use covid- outcome method pubmed europe pmc database search strategy combine keyword relate aim december th article relate covid- beta blocker retrieve review manager comprehensive meta analysis  software perform statistical analysis result total  study consist patient include analysis meta analysis show use beta blocker associate increase risk covid- ci p random effect modelling clinical progression ci p random effect modelling mortality covid- ci p random effect modelling meta regression show association mortality outcome influence age p hypertension p conclusion risk benefit beta blocker drug choice treat hypertensive patient account individually case case know association high incidence severity covid- infection line antihypertensive drug consider alternative therapy risk administer beta blocker outweigh benefit covid- infection
9,angiotensin convert enzyme  ace receptor identify entry receptor severe acute respiratory syndrome coronavirus  sars cov- abundantly express organ respect role circulate ace receptor expression pathogenesis sars cov- infection debate disease hypertension pharmacotherapie include ace inhibitor angiotensin receptor blocker affect ace receptor expression modulate severity outcome coronavirus disease  covid- test hypothesis treatment ace inhibitor ramipril affect organ specific ace receptor mrna protein expression serum metabolome biobreeding bb rat male biobreeding rat randomly divide ramipril mg kg body weight treatment group control group n n  group period seven day ramipril treatment result reduction acylcarnitine c c  metabolite different organ study lung ramipril treatment significantly increase ace mrna ace receptor membrane protein level increased ace receptor lung expression ramipril treatment associate difference ace serum concentration experimental group datum provide experimental vivo evidence ace inhibitor ramipril selectively increase pulmonary ace receptor mrna protein level reduce acylcarnitine
