,processed_text
0,introduction clear asthma frequent chronic disease childhood risk severe sars cov- infection pediatric population sars cov- infection affect lung function patient purpose aim investigate course consequence sars cov- infection child asthma determine risk factor decline lung function test method retrospective study asthmatic child coronavirus disease  covid- compare random control group asthmatic patient covid- addition clinical course effect lung function test covid- child asthma evaluate result eighty patient covid-  include study fever fatigue cough frequent symptom covid- severity covid-  patient .% mild clinical condition  moderate disease .% severe disease critically ill disease patient diagnose multisystem inflammatory syndrome child mis c patient suffer pneumothorax lung function test patient covid- infection analyze significant difference find fev .% vs .% p=. fvc% .% vs .% p=. fev fvc .% vs .% p=. value .% vs .% p/=% decrease fef- covid- infection conclusion covid- infection lead dysfunction small airway asthmatic child obesity independent risk factor decrease fef- long term effect covid- infection especially small airway require close monitoring child asthma article protect
1,march world health organization declare coronavirus disease  covid- pandemic till affect million spain million person world total million death spain observe hospitalize covid- patient covid- associate comorbidity show people underlie chronic illness likely grow seriously ill individual covid- past medical history cardiovascular disorder cancer obesity chronic lung disease diabetes neurological disease bad prognosis likely develop acute respiratory distress syndrome pneumonia covid- affect respiratory system variety way spectrum level disease severity depend person immune system age comorbiditie symptom range mild cough shortness breath fever critical disease include respiratory failure shock multi organ system failure covid- infection cause overall worsening previous respiratory disease asthma chronic obstructive pulmonary disease copd interstitial lung disease etc review aim provide information impact covid- disease pre exist lung comorbiditie
2,consequence sars cov- infection include short term long term mild severe clinical symptom cardiovascular system include endothelial cell vascular smooth muscle cell cardiac myocyte important target sars cov- february finding large cohort individual diagnose covid- set control cohort evaluate risk -month cardiovascular disease burden individual covid- increase risk heart failure increase risk myocardial infarction increase risk ischemic stroke compare control result independent gender race age cardiovascular risk factor include diabetes obesity hypertension hyperlipidemia chronic kidney disease  april world health organization report  million people  million people uk  million people worldwide infect sars cov- editorial aim present currently know cardiovascular outcome year follow sars cov- infection highlight primary care physician mindful covid- infection status patient evaluate cardiovascular health
3,background severe acute respiratory syndrome coronavirus  sars cov- etiological agent coronavirus disease  covid- pandemic risk factor associate severity disease presence metabolic disorder reason aim research identify comorbiditie laboratory parameter covid- patient admit intensive care unit icu compare patient require invasive mechanical ventilation imv require imv order determine clinical characteristic associate covid- severity method carry cross sectional study  patient admit icu april  st july  st comorbiditie laboratory parameter associate sars cov- infection severity identify datum patient group main group patient require imv patient require imv nonparametric mann whitney u test continuous datum chi  test categorical datum compare variable group result  covid- patient admit icu  require imv  require imv comorbiditie find patient high prevalence type  diabetes mellitus tdm hypertension obesity observe patient require imv vs. require imv p concern laboratory parameter glucose interleukin  il- lactate dehydrogenase ldh c reactive protein crp significantly high patient require imv require imv p conclusion study perform mexican population indicate comorbiditie tdm hypertension obesity elevated level glucose il- ldh crp associate covid- severity
4,immune response sars cov- ensue inflammation pose huge challenge host nicotinamide adenine dinucleotide nad(+ metabolism human depend vitamin b biosynthesis nad(+ indispensable metabolic nad(+)-consume signal reaction balance utilization resynthesis vitally important extra pulmonary symptom covid- strikingly resemble pellagra vitamin b deficiency e.g. diarrhoea dermatitis oral cavity tongue manifestation loss smell taste mental confusion develop country pellagra successfully eradicate vitamin b fortification program conceivably suspect cause covid- symptom deregulation nad(+ metabolism response sars cov- infection special emphasis difference nad(+ biosynthetic pathway efficiency condition predispose development covid- sars cov- infection induce nad(+ depletion elevated level metabolite contribute development systemic disease acute liberation nicotinamide nam antiviral nad(+)-consuming reaction potentiate nam drain cooperatively mediate nicotinamide n methyltransferase aldehyde oxidase nam drain compromise nad(+ salvage pathway fail safe function robustness host nad(+ salvage pathway prior sars cov- infection important determinant covid- severity persistence certain symptom resolution infection
5,aim study aim review indicate discuss impact cardiovascular risk factor obesity diabetes lipid profile hypertension smoking course mortality covid- infection background coronavirus disease  covid- pandemic spread world major public health crisis coronaviruse know affect cardiovascular system strong correlation cardiovascular risk factor severe clinical complication include death covid- patient mention risk factor widespread constitute significant worldwide health problem modifiable awareness connection covid- progress crucial impact current possible upcoming infection data collection search research paper describe impact select cardiovascular risk factor course severity complication mortality covid- infection form pubmed google scholar database term example covid- cardiovascular disease mortality covid- hypertension diabetes mellitus obesity dyslipidemia cardiovascular risk factor covid- mortality related term list subtitle publication select accord time publication january  december pubmed database obtain  result study seek manually search reference list relevant article relevant article select base title abstract text article exclude clearly relate subject matter publish english type article mainly randomized control trial systematic review additional criterion researcher co morbidity age patient study group review publication  select work subheading include finding result intention review summarize current knowledge comorbiditie development covid- infection try focus course mortality abovementioned virus disease patient concomitant cv risk factor unfortunately unable assess quality datum screen paper study choose heterogenicity group conduct study different endpoint include different group patient term nationality age race clinical status decide divide main subject research separately describe subtitle obesity lipid profile hypertension diabetes smoking believe study include gather interesting modern present day clinical datum approach covid- infection specific division patient
6,angiotensin convert enzyme  ace receptor identify entry receptor severe acute respiratory syndrome coronavirus  sars cov- abundantly express organ respect role circulate ace receptor expression pathogenesis sars cov- infection debate disease hypertension pharmacotherapie include ace inhibitor angiotensin receptor blocker affect ace receptor expression modulate severity outcome coronavirus disease  covid- test hypothesis treatment ace inhibitor ramipril affect organ specific ace receptor mrna protein expression serum metabolome biobreeding bb rat male biobreeding rat randomly divide ramipril mg kg body weight treatment group control group n n  group period seven day ramipril treatment result reduction acylcarnitine c c  metabolite different organ study lung ramipril treatment significantly increase ace mrna ace receptor membrane protein level increased ace receptor lung expression ramipril treatment associate difference ace serum concentration experimental group datum provide experimental vivo evidence ace inhibitor ramipril selectively increase pulmonary ace receptor mrna protein level reduce acylcarnitine
7,background summarize modifiable factor coronavirus disease  covid- suggest mendelian randomization study method systematic review search pubmed embase medline inception  november mendelian randomization study english select study assess association genetically predict exposure covid related outcome severity hospitalization susceptibility risk bias include study evaluate base consideration main assumption instrumental variable analysis result identify  study systematic search  mendelian randomization study include include study explore wide range socio demographic factor lifestyle attribute anthropometric biomarker predisposition disease druggable target covid- risk mendelian randomization study suggest increase smoking obesity inflammatory factor associate high risk covid- predisposition ischaemic stroke combine bipolar disorder schizophrenia attention deficit hyperactivity disorder chronic kidney disease idiopathic pulmonary fibrosis potentially associate high covid- risk druggable target high protein expression histo blood group abo system transferase abo interleukin il)- lower protein expression oligoadenylate synthetase  oas associate high risk covid- strong genetic evidence support role vitamin d glycaemic trait predisposition cardiometabolic disease covid- risk conclusion review summarize modifiable factor intervention e.g. smoking obesity inflammatory factor proteomic signature e.g. oas il- help identify drug treat covid-
8,mucormycosis angioinvasive disease cause mold fungus genus rhizopus mucor india report surge case covid  associate mucormycosis past month increase frequency risk factor like corticosteroid therapy uncontrolled diabetes neutropenia obesity study show eukaryote cell membrane contain cholesterol fungal cell wall contain ergosterol lanosterol precursor ergosterol essential mitochondrial dna maintenance fungus cholesterol human current study base hypothesis fungus use human cholesterol raw material maintain cell function accentuate multiplication indirectly show association deranged lipid parameter individual severity mucormycosis present study aim estimate lipid parameter correlate serum lipid parameter clinical profile stage disease duration onset mucormycosis patient covid associate mucormycosis material cross sectional study conduct  patient diagnose covid  associate mucormycosis admit hospital attach bmcri july  september serum fast lipid profile biochemical parameter determine correlation lipid level clinical profile onset staging mucormycosis patient obtain observation age distribution vary yr yr majority male patient mucormycosis severity stage nasal block .% find common symptom follow headache(.% patient mucormycosis frequent associate comorbidity diabetes mellitus dm follow hypertension htn follow dm htn follow ischemic heart disease ihd follow dm htn ihd study show statistically significant correlation severity mucormycosis increase progressive worsen lipid parameter show statistically significant correlation patient increase tc ldl vldl tg level short covid  onset mucormycosis onset duration conclusion study show positive correlation serum lipid profile staging mucormycosis negative correlation lipid level duration onset covid  onset mucormycosis serum lipid profile excellent marker predict severity prognosis covid  associate mucormycosis
9,background coronavirus disease  covid- pandemic tertiary hospital south africa world wide describe limited datum publish finding article aim describe patient admit large district hospital cape town south africa wave severe acute respiratory syndrome coronavirus  sars cov- infection compare clinical feature investigate survivor deceased covid- patient method single centre retrospective review clinical record laboratory datum patient admit positive sars cov- polymerase chain reaction pcr april  august result total  patient positive sars cov- pcr admit study centre night long patient  die covid- median age patient die covid-  year  year survivor hypertension diabetes mellitus obesity common comorbiditie patient survive die covid- major difference compare severity infiltrate chest x ray cxr covid- survivor deceased patient half deceased patient die  day follow admission hospital substantial number patient die covid- associate acute kidney injury n conclusion acute kidney injury high prevalence patient die covid- delay transfer intensive care unit icu limited icu capacity disease severity contribute substantial number patient die  day admission
