words,count
likewise,0.3806805581748113
utilise,0.38911104027256294
diarrhoea,0.42157975652722035
normalization,0.43011688382630164
emerging,0.4320311759596968
appetite,0.4678974043381793
lot,0.48504340068372775
ontario,0.49034125452232497
commission,0.5196196112568277
retain,0.5208903343045974
unlike,0.5328811425436583
disappear,0.5344345557475527
nose,0.534585528352761
obstruction,0.5486179217812681
delayed,0.5551670120762502
extension,0.5988428961480159
inconclusive,0.6506895106566447
chf,0.6574354687781788
innovation,0.6609648902335842
suboptimal,0.6665358919871323
ptx,0.6845737254654226
quantitatively,0.6881909910673178
malaise,0.6883561354030138
modest,0.6964402908831306
reliably,0.6973137957981982
hospitals,0.6979877934018356
beijing,0.7256235005283358
stabilize,0.7345262705519269
falciparum,0.7754527489238069
micro,0.7803768810633123
council,0.8011057961074098
continuously,0.8072413970258334
na,0.8652016539163838
absent,0.8785046009788554
immunocompetent,0.8825796502142382
uncommon,0.8840152854396691
sustained,0.884181074244512
thiol,0.8880165801208373
alert,0.8997832172427798
naturally,0.9037488554275728
atherosclerosis,0.9139798651867388
repeatedly,0.9160667183404629
tracheal,0.9192598345429996
chill,0.9199506083404031
sustain,0.9313648916649663
adenovirus,0.9498291991127998
ny,0.9688084372472776
antiretroviral,0.973585186025013
cdc,0.9740320934624936
cord,0.977287525714309
mildly,0.9799245806591069
im,0.983476379925077
institutes,1.005864957039089
unlikely,1.013623290035419
endotype,1.0535306468772596
rdrp,1.0568374448080593
apart,1.0713175273685074
willebrand,1.0769792243318037
sciences,1.0815201509642787
hc,1.082749077350749
coinfecte,1.1146105789758898
passive,1.1212076138559437
epidemiologic,1.1323747524172754
simultaneously,1.1327502977489612
insufficient,1.1436187305625487
head,1.1441884909124649
sar,1.1617778236174434
pharyngeal,1.1669202112119892
flare,1.1691719731467602
minimal,1.1700216564915074
confirmation,1.1843428586342668
concordance,1.1930770982175747
negativity,1.2079683664690244
appearance,1.2098398899979874
atypical,1.2207811486836033
foundation,1.2378150754037527
fund,1.2560871359450405
hyposmia,1.2579608287563955
id,1.260848635903789
pair,1.2686081926422565
geometric,1.2758917307897022
convalescence,1.2869074054893588
quantification,1.2990122027921367
thrombi,1.309262156970362
nd,1.319602632480382
prolong,1.3218930012548722
longitudinally,1.323037616154118
door,1.3322900595145721
rd,1.3726583036140876
ek,1.3819114269103228
tsh,1.3881376287094962
automate,1.3917025300621526
tuberculosis,1.398257780028869
hemorrhagic,1.4155413567409587
cf,1.4157052796372007
barotrauma,1.4169335435454278
anterior,1.4425141147929166
von,1.4427523951399663
house,1.4493800594844155
fourth,1.4595867344079498
sotr,1.462782716669328
sub,1.4646196739009403
determination,1.4693856430778636
rectal,1.480429832763299
differentiate,1.4840686057875094
virological,1.4873550369988733
vertical,1.4928985419536513
reactivation,1.5006474204536702
grant,1.5047997345083866
slightly,1.520832905245577
dry,1.5517656908124617
subclass,1.5569019140951947
conversion,1.578935504375277
ige,1.593320314212911
vocs,1.6304166909104594
lupus,1.6379687663812796
comparative,1.6452215344651755
hcovs,1.6470699546676215
te,1.647188183862799
newly,1.664063582081607
rsv,1.6758773389290305
cmv,1.6908851387268646
undetectable,1.699436882339686
hemorrhage,1.726048827006174
inactivate,1.7272516128995647
isotype,1.7285052310473337
utility,1.7402254294101471
season,1.7464077333919419
seronegative,1.7731681580997765
thrombectomy,1.785553618621995
nucleoprotein,1.7891129408274704
ihca,1.7934333425365425
